route_id,unique_id,service_start_date,update_origin,train_platform,working_time_arrival,working_time_departure,planned_time_arrival,planned_time_departure,actual_arrival_time,actual_departure_time,platform,train_length,estimated_time,source,actual_time,actual_time_class,is_delayed_arrival,is_delayed_departure,source_instance,estimated_time_minutes,planned_time_arrival_seconds,working_time_arrival_seconds,abs_error_arrival,actual_arrival_time_seconds,planned_time_departure_seconds,actual_departure_time_seconds,abs_error_departure,AtcoCode_x,TiplocCode_x,CrsCode_x,StationName_x,StationNameLang_x,GridType_x,Easting_x,Northing_x,CreationDateTime_x,ModificationDateTime_x,RevisionNumber_x,Modification_x,AtcoCode_y,TiplocCode_y,CrsCode_y,StationName_y,StationNameLang_y,GridType_y,Easting_y,Northing_y,CreationDateTime_y,ModificationDateTime_y,RevisionNumber_y,Modification_y,AtcoCode_darwin,TiplocCode_darwin,CrsCode_darwin,StationName_darwin,StationNameLang_darwin,GridType_darwin,Easting_darwin,Northing_darwin,CreationDateTime_darwin,ModificationDateTime_darwin,RevisionNumber_darwin,Modification_darwin,AtcoCode_station_ref,TiplocCode_station_ref,CrsCode_station_ref,StationName_station_ref,StationNameLang_station_ref,GridType_station_ref,Easting_station_ref,Northing_station_ref,CreationDateTime_station_ref,ModificationDateTime_station_ref,RevisionNumber_station_ref,Modification_station_ref,AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
202403227122073,G22073,2024-03-22,TD,GTWK,00:40:00,00:42:00,00:40:00,00:42:00,00:41:00,00:42:00,1,12.0,,,,,False,False,,,2400,2400,60,2460,2520,2520,0,9100GTWK,GTWK,GTW,Gatwick Airport Rail Station,,U,528700.0,141300.0,2003-11-04T00:00:00,2006-09-18T18:24:34,1.0,rev,9100GTWK,GTWK,GTW,Gatwick Airport Rail Station,,U,528700.0,141300.0,2003-11-04T00:00:00,2006-09-18T18:24:34,1.0,rev,9100GTWK,GTWK,GTW,Gatwick Airport Rail Station,,U,528700.0,141300.0,2003-11-04T00:00:00,2006-09-18T18:24:34,1.0,rev,9100GTWK,GTWK,GTW,Gatwick Airport Rail Station,,U,528700.0,141300.0,2003-11-04T00:00:00,2006-09-18T18:24:34,1.0,rev,9100GTWK,GTWK,GTW,Gatwick Airport Rail Station,,U,528700.0,141300.0,2003-11-04T00:00:00,2006-09-18T18:24:34,1.0,rev
202403227105504,G05504,2024-03-22,CIS,BASILDN,00:38:30,00:39:30,00:39:00,00:39:00,00:39:00,00:40:00,2,8.0,,,,,False,False,,,2340,2310,0,2340,2340,2400,60,9100BASILDN,BASILDN,BSO,Basildon Rail Station,,U,570368.0,188330.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100BASILDN,BASILDN,BSO,Basildon Rail Station,,U,570368.0,188330.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100BASILDN,BASILDN,BSO,Basildon Rail Station,,U,570368.0,188330.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100BASILDN,BASILDN,BSO,Basildon Rail Station,,U,570368.0,188330.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100BASILDN,BASILDN,BSO,Basildon Rail Station,,U,570368.0,188330.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev
202403227105504,G05504,2024-03-22,CIS,CHLKWEL,00:53:00,00:53:30,00:53:00,00:53:00,00:53:00,00:54:00,2,8.0,,,,,False,False,,,3180,3180,0,3180,3180,3240,60,9100CHLKWEL,CHLKWEL,CHW,Chalkwell Rail Station,,U,585303.0,185582.0,2003-11-04T00:00:00,2006-11-24T15:29:01,2.0,rev,9100CHLKWEL,CHLKWEL,CHW,Chalkwell Rail Station,,U,585303.0,185582.0,2003-11-04T00:00:00,2006-11-24T15:29:01,2.0,rev,9100CHLKWEL,CHLKWEL,CHW,Chalkwell Rail Station,,U,585303.0,185582.0,2003-11-04T00:00:00,2006-11-24T15:29:01,2.0,rev,9100CHLKWEL,CHLKWEL,CHW,Chalkwell Rail Station,,U,585303.0,185582.0,2003-11-04T00:00:00,2006-11-24T15:29:01,2.0,rev,9100CHLKWEL,CHLKWEL,CHW,Chalkwell Rail Station,,U,585303.0,185582.0,2003-11-04T00:00:00,2006-11-24T15:29:01,2.0,rev
202403218900723,Y00723,2024-03-21,CIS,ANDOVER,00:49:30,00:51:00,00:50:00,00:51:00,00:56:00,00:57:00,2,,,,,,False,False,,,3000,2970,360,3360,3060,3420,360,9100ANDOVER,ANDOVER,ADV,Andover Rail Station,,U,435565.0,145938.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100ANDOVER,ANDOVER,ADV,Andover Rail Station,,U,435565.0,145938.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100ANDOVER,ANDOVER,ADV,Andover Rail Station,,U,435565.0,145938.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100ANDOVER,ANDOVER,ADV,Andover Rail Station,,U,435565.0,145938.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev,9100ANDOVER,ANDOVER,ADV,Andover Rail Station,,U,435565.0,145938.0,2003-11-04T00:00:00,2006-09-18T18:24:34,2.0,rev
202403228009129,P09129,2024-03-22,CIS,STFD,00:40:00,00:41:00,00:40:00,00:41:00,00:40:00,00:41:00,8,,,,,,False,False,,,2400,2400,0,2400,2460,2460,0,9100STFD,STFD,SRA,Stratford (London) Rail Station,,U,538557.0,184444.0,2003-11-04T00:00:00,2009-10-05T17:34:50,2.0,rev,9100STFD,STFD,SRA,Stratford (London) Rail Station,,U,538557.0,184444.0,2003-11-04T00:00:00,2009-10-05T17:34:50,2.0,rev,9100STFD,STFD,SRA,Stratford (London) Rail Station,,U,538557.0,184444.0,2003-11-04T00:00:00,2009-10-05T17:34:50,2.0,rev,9100STFD,STFD,SRA,Stratford (London) Rail Station,,U,538557.0,184444.0,2003-11-04T00:00:00,2009-10-05T17:34:50,2.0,rev,9100STFD,STFD,SRA,Stratford (London) Rail Station,,U,538557.0,184444.0,2003-11-04T00:00:00,2009-10-05T17:34:50,2.0,rev
202403227126915,G26915,2024-03-22,CIS,KENSLG,00:43:00,00:43:30,00:43:00,00:43:00,00:43:00,00:43:00,2,,,,,,False,False,,,2580,2580,0,2580,2580,2580,0,9100KENSLG,KENSLG,KNL,Kensal Green Rail Station,,U,523215.0,182785.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100KENSLG,KENSLG,KNL,Kensal Green Rail Station,,U,523215.0,182785.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100KENSLG,KENSLG,KNL,Kensal Green Rail Station,,U,523215.0,182785.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100KENSLG,KENSLG,KNL,Kensal Green Rail Station,,U,523215.0,182785.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100KENSLG,KENSLG,KNL,Kensal Green Rail Station,,U,523215.0,182785.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev
202403227617194,L17194,2024-03-22,TD,NEWXGTE,00:40:30,00:41:30,00:41:00,00:41:00,00:41:00,00:41:00,2,10.0,,,,,False,False,,,2460,2430,0,2460,2460,2460,0,9100NEWXGTE,NEWXGTE,NXG,New Cross Gate Rail Station,,U,536190.0,176950.0,2005-04-25T00:00:00,2010-05-27T19:04:08,2.0,rev,9100NEWXGTE,NEWXGTE,NXG,New Cross Gate Rail Station,,U,536190.0,176950.0,2005-04-25T00:00:00,2010-05-27T19:04:08,2.0,rev,9100NEWXGTE,NEWXGTE,NXG,New Cross Gate Rail Station,,U,536190.0,176950.0,2005-04-25T00:00:00,2010-05-27T19:04:08,2.0,rev,9100NEWXGTE,NEWXGTE,NXG,New Cross Gate Rail Station,,U,536190.0,176950.0,2005-04-25T00:00:00,2010-05-27T19:04:08,2.0,rev,9100NEWXGTE,NEWXGTE,NXG,New Cross Gate Rail Station,,U,536190.0,176950.0,2005-04-25T00:00:00,2010-05-27T19:04:08,2.0,rev
202403227617194,L17194,2024-03-22,TD,BROCKLY,00:43:30,00:44:00,00:44:00,00:44:00,00:44:00,00:44:00,2,10.0,,,,,False,False,,,2640,2610,0,2640,2640,2640,0,9100BROCKLY,BROCKLY,BCY,Brockley Rail Station,,U,536420.0,175790.0,2003-11-04T00:00:00,2010-05-14T17:36:24,2.0,rev,9100BROCKLY,BROCKLY,BCY,Brockley Rail Station,,U,536420.0,175790.0,2003-11-04T00:00:00,2010-05-14T17:36:24,2.0,rev,9100BROCKLY,BROCKLY,BCY,Brockley Rail Station,,U,536420.0,175790.0,2003-11-04T00:00:00,2010-05-14T17:36:24,2.0,rev,9100BROCKLY,BROCKLY,BCY,Brockley Rail Station,,U,536420.0,175790.0,2003-11-04T00:00:00,2010-05-14T17:36:24,2.0,rev,9100BROCKLY,BROCKLY,BCY,Brockley Rail Station,,U,536420.0,175790.0,2003-11-04T00:00:00,2010-05-14T17:36:24,2.0,rev
202403227617194,L17194,2024-03-22,TD,HONROPK,00:46:00,00:46:30,00:46:00,00:46:00,00:46:00,00:46:00,2,10.0,,,,,False,False,,,2760,2760,0,2760,2760,2760,0,9100HONROPK,HONROPK,HPA,Honor Oak Park Rail Station,,U,535910.0,174145.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100HONROPK,HONROPK,HPA,Honor Oak Park Rail Station,,U,535910.0,174145.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100HONROPK,HONROPK,HPA,Honor Oak Park Rail Station,,U,535910.0,174145.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100HONROPK,HONROPK,HPA,Honor Oak Park Rail Station,,U,535910.0,174145.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100HONROPK,HONROPK,HPA,Honor Oak Park Rail Station,,U,535910.0,174145.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev
202403227617194,L17194,2024-03-22,TD,FORESTH,00:48:30,00:49:00,00:49:00,00:49:00,00:49:00,00:49:00,2,10.0,,,,,False,False,,,2940,2910,0,2940,2940,2940,0,9100FORESTH,FORESTH,FOH,Forest Hill Rail Station,,U,535410.0,172940.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100FORESTH,FORESTH,FOH,Forest Hill Rail Station,,U,535410.0,172940.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100FORESTH,FORESTH,FOH,Forest Hill Rail Station,,U,535410.0,172940.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100FORESTH,FORESTH,FOH,Forest Hill Rail Station,,U,535410.0,172940.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev,9100FORESTH,FORESTH,FOH,Forest Hill Rail Station,,U,535410.0,172940.0,2003-11-04T00:00:00,2010-05-14T17:37:23,2.0,rev
